#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-26T17:58:50 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-26T17:58:50	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/633/A51/handbook&-out.all&-out.max=500	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36330051
#Name: J/A+A/633/A51
#Title: Distances to molecular clouds in SFR (Zucker+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/633/a51	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/633/a51	    IVOID of underlying data collection
#INFO	creator=Zucker C.	    First author or institution
#INFO	cites=bibcode:2020A&A...633A..51Z	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/633/A51	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36330051	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-01-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_A_A_633_A51_handbook:
#Name: J/A+A/633/A51/handbook
#Title: Star Formation Handbook Cloud Distances (table A1)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a17)	Cloud/star-forming region associated with sightline	[ucd=meta.id;meta.main]
#Column	GLON	(F5.1)	Galactic longitude of center of sightline	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude of center of sightline	[ucd=pos.galactic.lat]
#Column	n16	(F7.4)	16th percentile of the samples for the normalization factor parameter N	[ucd=stat.error]
#Column	n50	(F7.4)	50th percentile of the samples for the normalization factor parameter N	[ucd=stat.fit.param]
#Column	n84	(F7.4)	84th percentile of the samples for the normalization factor parameter N	[ucd=stat.error]
#Column	f16	(F7.4)	16th percentile of the samples for the foreground extinction parameter f	[ucd=stat.error]
#Column	f50	(F7.4)	50th percentile of the samples for the foreground extinction parameter f	[ucd=obs.atmos.extinction]
#Column	f84	(F7.4)	84th percentile of the samples for the foreground extinction parameter f	[ucd=stat.error]
#Column	m16	(F7.4)	16th percentile of the samples for the cloud distance modulus mu_c	[ucd=stat.error]
#Column	m50	(F7.4)	50th percentile of the samples for the cloud distance modulus mu_c	[ucd=phot.mag.distMod]
#Column	m84	(F7.4)	84th percentile of the samples for the cloud distance modulus mu_c	[ucd=stat.error]
#Column	d16	(I4)	16th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	d50	(I4)	50th percentile of the samples for the cloud distance D_c	[ucd=pos.distance]
#Column	d84	(I4)	84th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	p16	(F7.4)	16th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat.error]
#Column	p50	(F7.4)	50th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat]
#Column	p84	(F7.4)	84th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat.error]
#Column	sfore16	(F7.4)	16th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.error]
#Column	sfore50	(F7.4)	50th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.fit.param]
#Column	sfore84	(F7.4)	84th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.error]
#Column	sback16	(F7.4)	16th percentile of the samples for the background smoothing parameter sback	[ucd=stat.error]
#Column	sback50	(F7.4)	50th percentile of the samples for the background smoothing parameter sback	[ucd=stat.fit.param]
#Column	sback84	(F7.4)	84th percentile of the samples for the background smoothing parameter sback	[ucd=stat.error]
#Column	new	(I1)	[0/1]? Whether the sightline is novel to this work (1), or taken from Zucker et al. 2019ApJ...879..125Z (0) (1)	[ucd=meta.code]
#Column	SimbadName	(a35)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Name	GLON	GLAT	n16	n50	n84	f16	f50	f84	m16	m50	m84	d16	d50	d84	p16	p50	p84	sfore16	sfore50	sfore84	sback16	sback50	sback84	new	SimbadName	_RA.icrs	_DE.icrs
     129	L1355            	133.6	+09.3	 0.5692	 0.5729	 0.5766	 0.9169	 0.9230	 0.9292	 9.7975	 9.8304	 9.8599	 910	 924	 937	 0.0414	 0.0518	 0.0638	 0.1076	 0.1143	 0.1217	 0.0795	 0.0829	 0.0868	1	L1355                              	044.3363	+69.5206
     130	L1616            	203.5	-24.8	 0.5938	 0.6046	 0.6156	 0.1500	 0.1870	 0.1914	 7.9281	 7.9673	 8.0137	 385	 392	 400	 0.0233	 0.0290	 0.0364	 0.0195	 0.0232	 0.0275	 0.0463	 0.0488	 0.0516	1	L1616                              	076.6339	-03.3748
     131	L1617            	203.5	-12.0	 0.5713	 0.5748	 0.5781	 0.1267	 0.1561	 0.1863	 8.0402	 8.0857	 8.1138	 405	 414	 419	 0.0283	 0.0344	 0.0404	 0.0173	 0.0205	 0.0241	 0.0532	 0.0552	 0.0571	1	L1617                              	087.8828	+02.7430
     132	L1622            	204.7	-11.8	 0.4962	 0.5020	 0.5077	 0.1608	 0.2405	 0.3319	 8.0177	 8.1105	 8.1963	 401	 418	 435	 0.0306	 0.0397	 0.0521	 0.0283	 0.0407	 0.0528	 0.1120	 0.1174	 0.1227	1	L1622                              	088.6168	+01.8045
     133	L1634            	207.6	-23.2	 0.6164	 0.6251	 0.6336	 0.2503	 0.2544	 0.2579	 7.8839	 7.9523	 8.0801	 377	 389	 413	 0.0178	 0.0225	 0.0285	 0.0354	 0.0416	 0.0496	 0.0536	 0.0563	 0.0591	1	L1634                              	079.8018	-05.9475
     134	L1634            	207.6	-22.8	 0.5816	 0.5928	 0.6034	 0.1870	 0.1910	 0.1946	 7.7307	 7.8113	 7.9182	 351	 364	 383	 0.0252	 0.0311	 0.0385	 0.0353	 0.0425	 0.0507	 0.0506	 0.0531	 0.0558	1	L1634                              	080.1600	-05.7657
     135	L291             	010.7	-02.8	 0.5477	 0.5517	 0.5560	 0.7966	 0.8170	 0.8384	10.7618	10.7917	10.8168	1420	1439	1456	 0.1842	 0.2045	 0.2237	 0.0360	 0.0404	 0.0461	 0.1328	 0.1369	 0.1415	1	L291                               	274.9260	-21.0146
     136	L291             	011.3	-02.1	 0.4156	 0.4188	 0.4223	 0.7461	 0.7616	 0.7775	10.5936	10.6291	10.6500	1314	1336	1348	 0.2273	 0.2471	 0.2694	 0.0266	 0.0301	 0.0338	 0.1374	 0.1428	 0.1489	1	L291                               	274.5685	-20.1559
     137	L291             	011.4	-02.7	 0.6172	 0.6218	 0.6268	 0.9214	 0.9685	 1.0750	10.6101	10.6493	10.6843	1324	1348	1370	 0.1557	 0.1786	 0.2005	 0.0361	 0.0450	 0.0540	 0.1441	 0.1480	 0.1522	1	L291                               	275.1828	-20.3504
     138	L379             	016.9	-02.2	 0.4312	 0.4367	 0.4424	 0.7780	 0.7883	 0.7989	11.8592	11.9070	11.9385	2354	2406	2441	 0.0898	 0.1046	 0.1201	 0.0710	 0.0740	 0.0771	 0.1595	 0.1645	 0.1705	1	L379                               	277.4070	-15.2549
     139	L379             	017.1	-02.9	 0.5962	 0.6004	 0.6048	 0.8181	 0.8239	 0.8300	11.3491	11.3830	11.4938	1861	1890	1989	 0.0781	 0.0908	 0.1044	 0.0606	 0.0647	 0.0687	 0.1157	 0.1188	 0.1224	1	L379                               	278.1465	-15.4003
     140	L379             	016.8	-02.7	 0.6085	 0.6124	 0.6161	 0.9208	 0.9357	 0.9509	11.5502	11.5705	11.5841	2041	2061	2074	 0.1311	 0.1468	 0.1623	 0.0349	 0.0381	 0.0443	 0.1217	 0.1252	 0.1290	1	L379                               	277.8192	-15.5743
     141	L977             	089.5	+02.0	 0.3477	 0.3495	 0.3513	 0.6403	 0.6853	 0.7325	 9.0595	 9.0980	 9.1493	 648	 660	 675	 0.0247	 0.0314	 0.0398	 0.0494	 0.0549	 0.0607	 0.1379	 0.1410	 0.1440	1	L977                               	315.2459	+49.3051
     142	L977             	089.8	+02.2	 0.3449	 0.3468	 0.3487	 0.5172	 0.5632	 0.6105	 8.9851	 9.0377	 9.0930	 626	 642	 658	 0.0214	 0.0273	 0.0342	 0.0489	 0.0544	 0.0609	 0.1415	 0.1444	 0.1473	1	L977                               	315.3188	+49.6624
     143	L988             	090.7	+02.4	 0.3421	 0.3441	 0.3461	 0.5243	 0.5665	 0.6092	 8.9661	 8.9870	 9.0089	 621	 627	 633	 0.0458	 0.0594	 0.0745	 0.0572	 0.0620	 0.0675	 0.1633	 0.1668	 0.1707	1	L988                               	316.0144	+50.4682
     144	L988             	090.2	+02.3	 0.3518	 0.3537	 0.3556	 0.3766	 0.4039	 0.4327	 8.9144	 8.9361	 8.9614	 606	 612	 619	 0.0479	 0.0592	 0.0718	 0.0302	 0.0339	 0.0382	 0.1384	 0.1418	 0.1454	1	L988                               	315.6122	+50.0284
     145	LBN906           	202.2	-31.4	 0.7000	 0.7270	 0.7548	 0.1071	 0.1117	 0.1162	 7.2664	 7.2932	 7.3276	 283	 287	 292	 0.0190	 0.0242	 0.0310	 0.0154	 0.0177	 0.0205	 0.0256	 0.0279	 0.0302	1	LBN906                             	070.2669	-05.5155
     146	LBN917           	203.7	-30.3	 0.7250	 0.7423	 0.7589	 0.1410	 0.1455	 0.1492	 6.7745	 6.8297	 6.8992	 226	 232	 239	 0.0261	 0.0332	 0.0419	 0.0223	 0.0271	 0.0329	 0.0225	 0.0253	 0.0283	1	LBN917                             	071.8534	-06.1297
     147	LBN942           	205.6	-22.0	 0.7125	 0.7202	 0.7278	 0.1968	 0.2672	 0.2710	 7.0012	 7.0515	 7.1052	 251	 257	 263	 0.0135	 0.0168	 0.0205	 0.0288	 0.0359	 0.0454	 0.0329	 0.0346	 0.0363	1	LBN942                             	080.0180	-03.7560
     148	LBN968           	208.4	-28.4	 0.5393	 0.5536	 0.5686	 0.1247	 0.1296	 0.1334	 7.4515	 7.5208	 7.6123	 309	 319	 333	 0.0198	 0.0253	 0.0316	 0.0268	 0.0337	 0.0426	 0.0479	 0.0505	 0.0533	1	LBN968                             	075.4362	-08.9179
     149	LBN969           	208.4	-22.2	 0.8410	 0.8626	 0.8860	 0.1309	 0.1357	 0.1397	 7.1496	 7.1946	 7.2474	 269	 274	 281	 0.0202	 0.0255	 0.0325	 0.0181	 0.0219	 0.0268	 0.0225	 0.0245	 0.0267	1	LBN969                             	081.0344	-06.1528
     150	LBN991           	213.6	-28.9	 0.5942	 0.6062	 0.6182	 0.1573	 0.1625	 0.1660	 7.9668	 8.0578	 8.1604	 392	 408	 428	 0.0150	 0.0187	 0.0232	 0.0213	 0.0261	 0.0319	 0.0290	 0.0309	 0.0328	1	LBN991                             	076.9390	-13.2649
     151	Lacerta          	096.1	-10.2	 0.7448	 0.7479	 0.7512	 0.1530	 0.1539	 0.1548	 8.4915	 8.5146	 8.5428	 499	 504	 511	 0.0118	 0.0139	 0.0163	 0.0352	 0.0398	 0.0462	 0.0419	 0.0428	 0.0438	0	NAME Lacerta Cloud                 	334.3382	+44.4967
     152	Lacerta          	095.8	-11.5	 0.6807	 0.6846	 0.6883	 0.1299	 0.1310	 0.1320	 8.3603	 8.3762	 8.4010	 469	 473	 478	 0.0123	 0.0146	 0.0172	 0.0328	 0.0374	 0.0433	 0.0433	 0.0445	 0.0456	0	NAME Lacerta Cloud                 	335.0100	+43.2548
     153	Lagoon           	006.9	-02.2	 0.4349	 0.4382	 0.4415	 0.8476	 0.8632	 0.8787	10.6008	10.6118	10.6256	1318	1325	1333	 0.0765	 0.0933	 0.1136	 0.0363	 0.0386	 0.0413	 0.1624	 0.1674	 0.1731	1	Lagoon                             	272.3970	-24.0671
     154	Lagoon           	007.3	-02.4	 0.5377	 0.5416	 0.5456	 0.7533	 0.7834	 0.8122	10.4157	10.4323	10.4523	1211	1220	1231	 0.1246	 0.1578	 0.1874	 0.0355	 0.0439	 0.0511	 0.2037	 0.2069	 0.2108	1	Lagoon                             	272.7993	-23.8131
     155	Lupus            	347.3	+06.6	 0.4725	 0.4859	 0.4974	 0.4127	 0.4307	 0.4420	 6.3780	 6.8938	 7.2939	 188	 239	 287	 0.0280	 0.0368	 0.0484	 0.0408	 0.0528	 0.0683	 0.0512	 0.0572	 0.0639	1	NAME Lup Cloud                     	251.3338	-35.4219
     156	Lupus            	338.7	+17.4	 0.5765	 0.5849	 0.5931	 0.1313	 0.2681	 0.2745	 5.9508	 6.0227	 6.0913	 154	 160	 165	 0.0257	 0.0320	 0.0395	 0.0298	 0.0418	 0.0542	 0.0536	 0.0561	 0.0587	1	NAME Lup Cloud                     	234.8715	-33.5542
     157	Lupus            	339.0	+16.3	 0.4705	 0.4801	 0.4898	 0.0587	 0.1666	 0.3162	 5.7444	 5.9051	 6.0861	 140	 151	 164	 0.0370	 0.0479	 0.0614	 0.0295	 0.0390	 0.0504	 0.0584	 0.0628	 0.0679	1	NAME Lup Cloud                     	235.9739	-34.2287
     158	Lupus            	341.1	+09.8	 0.5582	 0.5635	 0.5688	 0.2844	 0.4486	 0.4588	 6.4179	 6.4784	 6.5283	 192	 197	 202	 0.0396	 0.0485	 0.0587	 0.0437	 0.0508	 0.0599	 0.0508	 0.0537	 0.0567	1	NAME Lup Cloud                     	243.2049	-37.7261
     159	Lupus            	341.1	+06.4	 0.4707	 0.4802	 0.4899	 0.4221	 0.5771	 0.5916	 4.3838	 5.1814	 6.0316	  75	 108	 160	 0.0219	 0.0291	 0.0388	 0.0369	 0.0498	 0.0659	 0.1479	 0.1537	 0.1597	1	NAME Lup Cloud                     	246.2967	-40.1298
     160	Lupus            	339.0	+14.9	 0.5924	 0.5991	 0.6057	 0.1251	 0.2552	 0.2617	 5.8810	 5.9674	 6.0244	 150	 156	 160	 0.0217	 0.0278	 0.0350	 0.0271	 0.0340	 0.0430	 0.0531	 0.0554	 0.0578	1	NAME Lup Cloud                     	237.0611	-35.3069
     161	M16              	017.5	+01.2	 0.4494	 0.4528	 0.4562	 1.3153	 1.3255	 1.3357	11.1784	11.2017	11.2301	1720	1739	1762	 0.2966	 0.3201	 0.3406	 0.0502	 0.0534	 0.0569	 0.1221	 0.1281	 0.1352	1	M16                                	274.5972	-13.1334
     162	M16              	017.9	+01.0	 0.4801	 0.4838	 0.4875	 1.2942	 1.3045	 1.3146	11.0363	11.0744	11.1044	1611	1640	1662	 0.2931	 0.3163	 0.3370	 0.0574	 0.0616	 0.0660	 0.1387	 0.1437	 0.1493	1	M16                                	274.9720	-12.8754
     163	M17              	015.3	-01.1	 0.2768	 0.2785	 0.2803	 0.9276	 0.9344	 0.9407	10.9389	10.9863	11.0089	1540	1574	1591	 0.0953	 0.1127	 0.1315	 0.0424	 0.0463	 0.0504	 0.1337	 0.1371	 0.1411	1	M17                                	275.6219	-16.1577
     164	M17              	015.2	-00.3	 0.0921	 0.0932	 0.0944	 0.7387	 0.7484	 0.7588	10.8590	10.8940	10.9250	1485	1509	1531	 0.2677	 0.2940	 0.3194	 0.0678	 0.0724	 0.0776	 0.1291	 0.1347	 0.1412	1	M17                                	274.8387	-15.8692
     165	M17              	015.5	-00.8	 0.1709	 0.1721	 0.1734	 0.8338	 0.8404	 0.8469	10.8427	10.8642	10.8990	1474	1488	1512	 0.1008	 0.1200	 0.1391	 0.0379	 0.0417	 0.0453	 0.1530	 0.1566	 0.1610	1	M17                                	275.4441	-15.8403
     166	M20              	007.4	-00.5	 0.0973	 0.0978	 0.0983	 0.8428	 0.8481	 0.8530	10.4714	10.4913	10.5070	1242	1253	1263	 0.0649	 0.0778	 0.0912	 0.0401	 0.0440	 0.0484	 0.1201	 0.1232	 0.1264	1	M20                                	271.0437	-22.8029
     167	M20              	006.7	-00.5	 0.0746	 0.0755	 0.0764	 0.6570	 0.6661	 0.6752	10.4172	10.4571	10.4912	1211	1234	1253	 0.2316	 0.2590	 0.2871	 0.0344	 0.0386	 0.0426	 0.1920	 0.1951	 0.1991	1	M20                                	270.6693	-23.4122
     168	M20              	007.0	+00.1	 0.0683	 0.0687	 0.0692	 0.6972	 0.7021	 0.7073	10.3612	10.3712	10.3893	1180	1186	1196	 0.0357	 0.0429	 0.0512	 0.0455	 0.0516	 0.0586	 0.1152	 0.1177	 0.1202	1	M20                                	270.2634	-22.8548
     169	M20              	006.6	-00.1	 0.0589	 0.0593	 0.0596	 0.5737	 0.5781	 0.5823	10.3531	10.3677	10.3895	1176	1184	1196	 0.0537	 0.0625	 0.0718	 0.0423	 0.0473	 0.0530	 0.1067	 0.1092	 0.1117	1	M20                                	270.2367	-23.3014
     170	Maddalena        	216.5	-02.5	 0.4965	 0.4986	 0.5006	 0.2585	 0.2603	 0.2620	11.6167	11.6220	11.6325	2105	2110	2120	 0.0805	 0.0893	 0.0985	 0.0946	 0.0970	 0.0996	 0.0694	 0.0713	 0.0732	0	NAME Maddalena Cloud               	102.2579	-04.3142
     171	Maddalena        	217.1	+00.4	 0.3278	 0.3304	 0.3329	 0.1383	 0.1411	 0.1438	11.3657	11.3801	11.4058	1875	1888	1910	 0.0428	 0.0488	 0.0547	 0.0347	 0.0366	 0.0385	 0.1360	 0.1389	 0.1416	0	NAME Maddalena Cloud               	105.1192	-03.5260
     172	Maddalena        	216.8	-02.2	 0.5072	 0.5092	 0.5113	 0.3186	 0.3207	 0.3229	11.6161	11.6252	11.6424	2104	2113	2130	 0.1424	 0.1554	 0.1678	 0.0786	 0.0809	 0.0833	 0.0739	 0.0764	 0.0789	0	NAME Maddalena Cloud               	102.6625	-04.4448
     173	Maddalena        	216.4	+00.1	 0.5013	 0.5036	 0.5055	 0.1642	 0.1654	 0.1665	11.6004	11.6102	11.6268	2089	2099	2115	 0.0201	 0.0234	 0.0265	 0.0314	 0.0334	 0.0352	 0.0657	 0.0668	 0.0680	0	NAME Maddalena Cloud               	104.5315	-03.0405
     174	Mon_OB1_NGC2264  	200.4	+00.8	 0.4380	 0.4406	 0.4429	 0.2388	 0.2417	 0.2442	 9.2706	 9.2837	 9.3176	 714	 719	 730	 0.0464	 0.0542	 0.0623	 0.0209	 0.0232	 0.0257	 0.0986	 0.1010	 0.1038	0	NAME Mon OB1                       	097.7949	+11.5054
     175	Mon_OB1_NGC2264  	201.2	+01.0	 0.4700	 0.4721	 0.4743	 0.1850	 0.2035	 0.2218	 9.2506	 9.2745	 9.4096	 708	 715	 761	 0.0422	 0.0481	 0.0557	 0.0180	 0.0201	 0.0223	 0.0908	 0.0932	 0.0958	0	NAME Mon OB1                       	098.3523	+10.8883
     176	Mon_OB1_NGC2264  	201.4	+01.1	 0.4829	 0.4849	 0.4869	 0.1888	 0.2081	 0.2287	 9.3399	 9.3703	 9.3987	 737	 748	 758	 0.0308	 0.0368	 0.0418	 0.0198	 0.0220	 0.0245	 0.0915	 0.0937	 0.0956	0	NAME Mon OB1                       	098.5364	+10.7569
     177	Mon_OB1_NGC2264  	203.1	+01.8	 0.4130	 0.4158	 0.4185	 0.2055	 0.2261	 0.2501	 9.4287	 9.4616	 9.5046	 768	 780	 796	 0.0393	 0.0466	 0.0547	 0.0267	 0.0292	 0.0322	 0.1074	 0.1100	 0.1126	1	NAME Mon OB1                       	099.9606	+09.5682
     178	Mon_OB1_NGC2264  	202.8	+02.3	 0.4718	 0.4748	 0.4779	 0.1763	 0.1966	 0.2197	 9.3267	 9.4025	 9.4299	 733	 759	 769	 0.0649	 0.0755	 0.0864	 0.0199	 0.0224	 0.0256	 0.0968	 0.0995	 0.1025	1	NAME Mon OB1                       	100.2730	+10.0633
     179	Mon_OB1_NGC2264  	202.1	+02.7	 0.4261	 0.4286	 0.4312	 0.1423	 0.1591	 0.1781	 9.4189	 9.4378	 9.4750	 765	 771	 785	 0.0561	 0.0649	 0.0742	 0.0155	 0.0175	 0.0198	 0.0899	 0.0924	 0.0950	1	NAME Mon OB1                       	100.3107	+10.8681
     180	Mon_R2           	220.9	-08.3	 0.5449	 0.5473	 0.5500	 0.1794	 0.1807	 0.1821	 9.7996	 9.8075	 9.8208	 911	 915	 920	 0.0207	 0.0243	 0.0288	 0.0499	 0.0538	 0.0578	 0.0587	 0.0600	 0.0617	0	Mon_R2                             	099.0107	-10.8304
     181	Mon_R2           	213.0	-12.5	 0.4077	 0.4118	 0.4161	 0.4383	 0.4428	 0.4475	 9.5067	 9.5150	 9.5274	 796	 799	 804	 0.0319	 0.0385	 0.0463	 0.0352	 0.0385	 0.0420	 0.0971	 0.1000	 0.1031	1	Mon_R2                             	091.7279	-05.7234
     182	Mon_R2           	215.3	-12.9	 0.5871	 0.5905	 0.5939	 0.2183	 0.2202	 0.2221	 9.3764	 9.4255	 9.4618	 750	 767	 780	 0.0257	 0.0308	 0.0369	 0.0570	 0.0621	 0.0678	 0.0622	 0.0644	 0.0665	0	Mon_R2                             	092.3699	-07.9115
     183	Mon_R2           	219.2	-07.7	 0.5527	 0.5550	 0.5573	 0.1974	 0.1987	 0.2000	 9.8616	 9.8732	 9.9542	 938	 943	 979	 0.0340	 0.0389	 0.0443	 0.0519	 0.0557	 0.0595	 0.0566	 0.0582	 0.0598	0	Mon_R2                             	098.8000	-09.0554
     184	Mon_R2           	219.3	-09.5	 0.4598	 0.4635	 0.4670	 0.2786	 0.2826	 0.2864	 9.7946	 9.8278	 9.8510	 909	 923	 933	 0.0820	 0.0951	 0.1109	 0.0508	 0.0546	 0.0593	 0.0839	 0.0880	 0.0926	0	Mon_R2                             	097.2074	-09.9401
     185	Mon_R2           	213.9	-11.9	 0.4797	 0.4842	 0.4886	 0.1662	 0.1689	 0.1715	 9.4414	 9.4846	 9.5167	 773	 788	 800	 0.1092	 0.1237	 0.1376	 0.0497	 0.0546	 0.0597	 0.0671	 0.0710	 0.0749	0	Mon_R2                             	092.6626	-06.2426
     186	NGC2362          	239.5	-04.9	 0.3534	 0.3566	 0.3598	 0.1638	 0.1769	 0.1908	10.5881	10.5987	10.6107	1311	1317	1324	 0.0471	 0.0545	 0.0630	 0.0165	 0.0181	 0.0195	 0.0847	 0.0872	 0.0899	1	NGC2362                            	110.9816	-25.8203
     187	NGC2362          	237.2	-04.9	 0.4185	 0.4214	 0.4243	 0.2082	 0.2253	 0.2433	10.3114	10.3481	10.3792	1154	1173	1190	 0.0148	 0.0179	 0.0216	 0.0208	 0.0227	 0.0248	 0.0645	 0.0663	 0.0680	1	NGC2362                            	109.8086	-23.7911
     188	NGC2362          	238.7	-04.2	 0.4004	 0.4032	 0.4060	 0.2365	 0.2547	 0.2732	10.6528	10.6653	10.6807	1350	1358	1368	 0.0170	 0.0206	 0.0250	 0.0237	 0.0256	 0.0279	 0.0721	 0.0740	 0.0760	1	NGC2362                            	111.2526	-24.7879
     189	NGC6604          	017.8	+02.2	 0.3084	 0.3115	 0.3147	 0.9213	 0.9309	 0.9407	10.6222	10.6553	10.6676	1331	1352	1359	 0.1897	 0.2099	 0.2312	 0.1198	 0.1237	 0.1282	 0.1374	 0.1419	 0.1473	1	NGC6604                            	273.8405	-12.3949
     190	NGC6604          	018.1	+01.9	 0.3531	 0.3625	 0.3725	 0.9963	 1.0237	 1.0527	10.8655	10.9159	10.9418	1489	1524	1543	 0.1522	 0.1803	 0.2102	 0.0862	 0.0913	 0.0965	 0.2288	 0.2361	 0.2455	1	NGC6604                            	274.2565	-12.2736
     191	NGC6604          	018.2	+02.5	 0.5485	 0.5542	 0.5594	 1.3371	 1.3512	 1.3641	10.6148	10.6261	10.6399	1327	1334	1342	 0.2066	 0.2464	 0.2815	 0.1196	 0.1234	 0.1281	 0.2009	 0.2050	 0.2106	1	NGC6604                            	273.7650	-11.9007
     192	Norma            	338.8	+01.8	 0.7490	 0.8100	 0.9219	 0.7571	 0.7748	 0.7925	 9.1467	 9.2926	 9.4547	 675	 721	 777	 0.0408	 0.0512	 0.0645	 0.0318	 0.0342	 0.0367	 0.0732	 0.1166	 0.1469	1	NAME Norma Cloud                   	248.7069	-44.9540
     193	North_America    	085.3	-00.8	 0.4250	 0.4275	 0.4300	 0.3471	 0.4388	 0.8645	 9.3855	 9.4733	 9.7773	 753	 784	 902	 0.0474	 0.0592	 0.0718	 0.0388	 0.0518	 0.1461	 0.1039	 0.1069	 0.1100	1	North_America                      	314.3169	+44.2980
     194	North_America    	084.8	-01.2	 0.3944	 0.3978	 0.4011	 0.3903	 0.4169	 0.4446	 9.6620	 9.7179	 9.7883	 855	 878	 907	 0.1505	 0.1714	 0.1940	 0.0327	 0.0389	 0.0462	 0.1013	 0.1060	 0.1117	1	North_America                      	314.2870	+43.6581
     195	North_America    	085.8	-02.2	 0.5632	 0.5654	 0.5676	 0.9251	 0.9289	 0.9325	 9.5411	 9.6075	 9.6540	 809	 834	 852	 0.0221	 0.0284	 0.0349	 0.1819	 0.1991	 0.2137	 0.0878	 0.0898	 0.0922	1	North_America                      	316.2387	+43.7501
     196	North_America    	086.6	-02.1	 0.5780	 0.5808	 0.5834	 0.7330	 0.7368	 0.7403	 9.2587	 9.3211	 9.4362	 710	 731	 771	 0.0274	 0.0334	 0.0399	 0.0799	 0.0923	 0.1084	 0.0756	 0.0776	 0.0797	1	North_America                      	316.8830	+44.4096
     197	North_America    	084.6	+00.1	 0.2716	 0.2730	 0.2744	 0.3081	 0.3280	 0.3488	 9.4722	 9.4950	 9.5172	 784	 792	 800	 0.2068	 0.2269	 0.2445	 0.0288	 0.0319	 0.0357	 0.0938	 0.0975	 0.1020	1	North_America                      	312.7244	+44.3411
     198	North_America    	083.7	-02.1	 0.5213	 0.5243	 0.5274	 0.5580	 0.5952	 0.6342	 9.4288	 9.4640	 9.4945	 768	 781	 792	 0.0499	 0.0631	 0.0768	 0.0561	 0.0616	 0.0672	 0.1249	 0.1289	 0.1333	1	North_America                      	314.2450	+42.2376
     199	North_America    	082.8	-02.1	 0.5061	 0.5100	 0.5136	 0.4761	 0.4994	 0.5218	 9.5068	 9.5402	 9.5721	 796	 809	 821	 0.0953	 0.1138	 0.1337	 0.0373	 0.0409	 0.0443	 0.1422	 0.1471	 0.1529	1	North_America                      	313.4645	+41.5509
     200	North_America    	081.7	-01.7	 0.5282	 0.5313	 0.5342	 0.3493	 0.3732	 0.3967	 9.6082	 9.6538	 9.6958	 834	 852	 869	 0.1376	 0.1534	 0.1723	 0.0306	 0.0363	 0.0407	 0.1188	 0.1225	 0.1271	1	North_America                      	312.1239	+40.9569
     201	North_America    	084.2	-01.3	 0.4741	 0.4758	 0.4776	 0.4089	 0.4338	 0.4603	 9.5093	 9.5460	 9.5647	 797	 811	 818	 0.0888	 0.1011	 0.1141	 0.0388	 0.0418	 0.0452	 0.0991	 0.1018	 0.1049	1	North_America                      	313.8566	+43.1366
     202	North_America    	084.8	-01.7	 0.5211	 0.5237	 0.5262	 0.6942	 0.8717	 0.8786	 9.5440	 9.5729	 9.6061	 810	 821	 834	 0.0262	 0.0320	 0.0387	 0.0639	 0.0764	 0.0879	 0.1046	 0.1070	 0.1096	1	North_America                      	314.8092	+43.3317
